"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"bc-influence-voting"
"01/20/2026 09:56:25:347 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","learning-rate","percent-option-B","confidence-threshold","influence-type","[step]","pref-A","pref-B"
"7","0.2","39","0.1","BC","0","270","171"
"2","0.2","39","0.1","BC","0","270","171"
"4","0.2","39","0.1","BC","0","270","171"
"9","0.2","39","0.1","BC","0","270","171"
"5","0.2","39","0.1","BC","0","270","171"
"3","0.2","39","0.1","BC","0","270","171"
"8","0.2","39","0.1","BC","0","270","171"
"6","0.2","39","0.1","BC","0","270","171"
"1","0.2","39","0.1","BC","0","270","171"
"3","0.2","39","0.1","BC","100","270","171"
"2","0.2","39","0.1","BC","100","270","171"
"9","0.2","39","0.1","BC","100","270","171"
"8","0.2","39","0.1","BC","100","270","171"
"2","0.2","39","0.1","BC","200","270","171"
"3","0.2","39","0.1","BC","200","270","171"
"9","0.2","39","0.1","BC","200","270","171"
"7","0.2","39","0.1","BC","100","270","171"
"4","0.2","39","0.1","BC","100","270","171"
"5","0.2","39","0.1","BC","100","270","171"
"6","0.2","39","0.1","BC","100","270","171"
"3","0.2","39","0.1","BC","300","270","171"
"8","0.2","39","0.1","BC","200","270","171"
"2","0.2","39","0.1","BC","300","270","171"
"9","0.2","39","0.1","BC","300","270","171"
"1","0.2","39","0.1","BC","100","270","171"
"3","0.2","39","0.1","BC","400","271","170"
"2","0.2","39","0.1","BC","400","270","171"
"8","0.2","39","0.1","BC","300","270","171"
"9","0.2","39","0.1","BC","400","270","171"
"6","0.2","39","0.1","BC","200","270","171"
"7","0.2","39","0.1","BC","200","270","171"
"5","0.2","39","0.1","BC","200","270","171"
"4","0.2","39","0.1","BC","200","270","171"
"3","0.2","39","0.1","BC","500","271","170"
"2","0.2","39","0.1","BC","500","270","171"
"9","0.2","39","0.1","BC","500","270","171"
"1","0.2","39","0.1","BC","200","270","171"
"8","0.2","39","0.1","BC","400","270","171"
"6","0.2","39","0.1","BC","300","270","171"
"7","0.2","39","0.1","BC","300","270","171"
"3","0.2","39","0.1","BC","600","271","170"
"2","0.2","39","0.1","BC","600","270","171"
"5","0.2","39","0.1","BC","300","270","171"
"4","0.2","39","0.1","BC","300","270","171"
"9","0.2","39","0.1","BC","600","270","171"
"8","0.2","39","0.1","BC","500","270","171"
"3","0.2","39","0.1","BC","700","271","170"
"2","0.2","39","0.1","BC","700","270","171"
"9","0.2","39","0.1","BC","700","270","171"
"1","0.2","39","0.1","BC","300","270","171"
"6","0.2","39","0.1","BC","400","270","171"
"3","0.2","39","0.1","BC","800","271","170"
"7","0.2","39","0.1","BC","400","270","171"
"2","0.2","39","0.1","BC","800","270","171"
"8","0.2","39","0.1","BC","600","270","171"
"4","0.2","39","0.1","BC","400","270","171"
"5","0.2","39","0.1","BC","400","270","171"
"9","0.2","39","0.1","BC","800","270","171"
"3","0.2","39","0.1","BC","900","271","170"
"2","0.2","39","0.1","BC","900","270","171"
"8","0.2","39","0.1","BC","700","270","171"
"9","0.2","39","0.1","BC","900","270","171"
"1","0.2","39","0.1","BC","400","270","171"
"6","0.2","39","0.1","BC","500","270","171"
