"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"experimento-3-negativa"
"01/28/2026 09:13:04:081 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-53","53","-5","4"
"[run number]","learning-rate","percent-option-B","agents-updated-per-tick","confidence-threshold","spatial-interactions?","influence-type","[step]","pref-A","pref-B"
"5","0.53","39","5","0","false","negative","69","630","440"
"4","0.53","39","5","0","false","negative","69","631","439"
"6","0.53","39","5","0","false","negative","69","639","431"
"3","0.53","39","5","0","false","negative","69","640","430"
"9","0.53","39","5","0","false","negative","69","634","436"
"8","0.53","39","5","0","false","negative","69","639","431"
"5","0.53","39","5","0","false","negative","166","617","453"
"10","0.53","39","5","0","false","negative","69","649","421"
"3","0.53","39","5","0","false","negative","166","612","458"
"1","0.53","39","5","0","false","negative","69","647","423"
"7","0.53","39","5","0","false","negative","69","646","424"
"4","0.53","39","5","0","false","negative","166","620","450"
"6","0.53","39","5","0","false","negative","166","628","442"
"11","0.53","39","5","0","false","negative","69","642","428"
"8","0.53","39","5","0","false","negative","166","625","445"
"5","0.53","39","5","0","false","negative","259","612","458"
"2","0.53","39","5","0","false","negative","69","636","434"
"12","0.53","39","5","0","false","negative","69","627","443"
"9","0.53","39","5","0","false","negative","166","621","449"
"3","0.53","39","5","0","false","negative","259","602","468"
"13","0.53","39","5","0","false","negative","69","644","426"
"4","0.53","39","5","0","false","negative","259","600","470"
"14","0.53","39","5","0","false","negative","69","629","441"
"6","0.53","39","5","0","false","negative","259","613","457"
"8","0.53","39","5","0","false","negative","259","629","441"
"1","0.53","39","5","0","false","negative","166","627","443"
"10","0.53","39","5","0","false","negative","166","631","439"
"15","0.53","39","5","0","false","negative","69","648","422"
"16","0.53","39","5","0","false","negative","69","637","433"
"13","0.53","39","5","0","false","negative","166","631","439"
"14","0.53","39","5","0","false","negative","166","608","462"
"9","0.53","39","5","0","false","negative","259","605","465"
"17","0.53","39","5","0","false","negative","69","640","430"
"7","0.53","39","5","0","false","negative","166","625","445"
"16","0.53","39","5","0","false","negative","166","626","444"
"15","0.53","39","5","0","false","negative","166","630","440"
"13","0.53","39","5","0","false","negative","259","614","456"
"14","0.53","39","5","0","false","negative","259","595","475"
"11","0.53","39","5","0","false","negative","166","620","450"
"17","0.53","39","5","0","false","negative","166","619","451"
"12","0.53","39","5","0","false","negative","166","611","459"
"18","0.53","39","5","0","false","negative","69","639","431"
"19","0.53","39","5","0","false","negative","69","634","436"
"2","0.53","39","5","0","false","negative","166","615","455"
"1","0.53","39","5","0","false","negative","259","611","459"
"10","0.53","39","5","0","false","negative","259","615","455"
"20","0.53","39","5","0","false","negative","69","637","433"
"15","0.53","39","5","0","false","negative","259","620","450"
"16","0.53","39","5","0","false","negative","259","612","458"
"19","0.53","39","5","0","false","negative","166","617","453"
"24","0.53","39","5","0","false","negative","69","634","436"
