"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"negative-influence-voting"
"01/20/2026 11:28:52:023 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","learning-rate","percent-option-B","confidence-threshold","influence-type","[step]","pref-A","pref-B"
"3","0.2","39","0.1","negative","0","270","171"
"4","0.2","39","0.1","negative","0","270","171"
"5","0.2","39","0.1","negative","0","270","171"
"8","0.2","39","0.1","negative","0","270","171"
"7","0.2","39","0.1","negative","0","270","171"
"9","0.2","39","0.1","negative","0","270","171"
"6","0.2","39","0.1","negative","0","270","171"
"2","0.2","39","0.1","negative","0","270","171"
"1","0.2","39","0.1","negative","0","270","171"
"8","0.2","39","0.1","negative","100","270","171"
"4","0.2","39","0.1","negative","100","266","175"
"3","0.2","39","0.1","negative","100","269","172"
"7","0.2","39","0.1","negative","100","269","172"
"5","0.2","39","0.1","negative","100","269","172"
"9","0.2","39","0.1","negative","100","267","174"
"6","0.2","39","0.1","negative","100","268","173"
"1","0.2","39","0.1","negative","100","268","173"
"2","0.2","39","0.1","negative","100","267","174"
"8","0.2","39","0.1","negative","200","268","173"
"3","0.2","39","0.1","negative","200","271","170"
"9","0.2","39","0.1","negative","200","266","175"
"4","0.2","39","0.1","negative","200","268","173"
"7","0.2","39","0.1","negative","200","267","174"
"6","0.2","39","0.1","negative","200","266","175"
"5","0.2","39","0.1","negative","200","269","172"
"1","0.2","39","0.1","negative","200","266","175"
"2","0.2","39","0.1","negative","200","265","176"
"8","0.2","39","0.1","negative","300","265","176"
"7","0.2","39","0.1","negative","300","268","173"
"4","0.2","39","0.1","negative","300","267","174"
"3","0.2","39","0.1","negative","300","273","168"
"6","0.2","39","0.1","negative","300","265","176"
"9","0.2","39","0.1","negative","300","261","180"
"5","0.2","39","0.1","negative","300","267","174"
"1","0.2","39","0.1","negative","300","265","176"
"8","0.2","39","0.1","negative","400","267","174"
"3","0.2","39","0.1","negative","400","272","169"
"7","0.2","39","0.1","negative","400","267","174"
"4","0.2","39","0.1","negative","400","263","178"
"9","0.2","39","0.1","negative","400","262","179"
"6","0.2","39","0.1","negative","400","263","178"
"2","0.2","39","0.1","negative","300","265","176"
"5","0.2","39","0.1","negative","400","269","172"
"8","0.2","39","0.1","negative","500","264","177"
"7","0.2","39","0.1","negative","500","268","173"
"4","0.2","39","0.1","negative","500","260","181"
"3","0.2","39","0.1","negative","500","268","173"
"9","0.2","39","0.1","negative","500","261","180"
"6","0.2","39","0.1","negative","500","264","177"
"5","0.2","39","0.1","negative","500","269","172"
"1","0.2","39","0.1","negative","400","266","175"
"2","0.2","39","0.1","negative","400","262","179"
"8","0.2","39","0.1","negative","600","258","183"
"7","0.2","39","0.1","negative","600","266","175"
"4","0.2","39","0.1","negative","600","260","181"
"9","0.2","39","0.1","negative","600","261","180"
"3","0.2","39","0.1","negative","600","266","175"
"6","0.2","39","0.1","negative","600","260","181"
"5","0.2","39","0.1","negative","600","263","178"
"2","0.2","39","0.1","negative","500","262","179"
"8","0.2","39","0.1","negative","700","255","186"
"4","0.2","39","0.1","negative","700","260","181"
"7","0.2","39","0.1","negative","700","269","172"
"3","0.2","39","0.1","negative","700","266","175"
"1","0.2","39","0.1","negative","500","268","173"
"9","0.2","39","0.1","negative","700","262","179"
"6","0.2","39","0.1","negative","700","262","179"
"5","0.2","39","0.1","negative","700","262","179"
"8","0.2","39","0.1","negative","800","253","188"
"4","0.2","39","0.1","negative","800","259","182"
"7","0.2","39","0.1","negative","800","264","177"
"9","0.2","39","0.1","negative","800","260","181"
"2","0.2","39","0.1","negative","600","258","183"
"3","0.2","39","0.1","negative","800","262","179"
"6","0.2","39","0.1","negative","800","259","182"
"5","0.2","39","0.1","negative","800","261","180"
"1","0.2","39","0.1","negative","600","266","175"
"8","0.2","39","0.1","negative","900","254","187"
"7","0.2","39","0.1","negative","900","262","179"
"4","0.2","39","0.1","negative","900","259","182"
"9","0.2","39","0.1","negative","900","258","183"
"3","0.2","39","0.1","negative","900","264","177"
"6","0.2","39","0.1","negative","900","258","183"
"5","0.2","39","0.1","negative","900","258","183"
"2","0.2","39","0.1","negative","700","258","183"
"8","0.2","39","0.1","negative","1000","251","190"
"4","0.2","39","0.1","negative","1000","255","186"
"7","0.2","39","0.1","negative","1000","258","183"
"9","0.2","39","0.1","negative","1000","257","184"
"6","0.2","39","0.1","negative","1000","257","184"
"3","0.2","39","0.1","negative","1000","261","180"
"5","0.2","39","0.1","negative","1000","257","184"
"2","0.2","39","0.1","negative","800","254","187"
"8","0.2","39","0.1","negative","1100","253","188"
"1","0.2","39","0.1","negative","700","265","176"
"4","0.2","39","0.1","negative","1100","254","187"
"7","0.2","39","0.1","negative","1100","255","186"
"9","0.2","39","0.1","negative","1100","254","187"
"6","0.2","39","0.1","negative","1100","255","186"
"3","0.2","39","0.1","negative","1100","260","181"
"5","0.2","39","0.1","negative","1100","255","186"
"8","0.2","39","0.1","negative","1200","252","189"
"4","0.2","39","0.1","negative","1200","254","187"
"7","0.2","39","0.1","negative","1200","258","183"
"2","0.2","39","0.1","negative","900","252","189"
"9","0.2","39","0.1","negative","1200","254","187"
"6","0.2","39","0.1","negative","1200","255","186"
"5","0.2","39","0.1","negative","1200","257","184"
"3","0.2","39","0.1","negative","1200","262","179"
"8","0.2","39","0.1","negative","1300","251","190"
"4","0.2","39","0.1","negative","1300","254","187"
"1","0.2","39","0.1","negative","800","263","178"
"7","0.2","39","0.1","negative","1300","254","187"
"9","0.2","39","0.1","negative","1300","252","189"
"6","0.2","39","0.1","negative","1300","251","190"
"5","0.2","39","0.1","negative","1300","256","185"
"3","0.2","39","0.1","negative","1300","261","180"
"2","0.2","39","0.1","negative","1000","248","193"
"8","0.2","39","0.1","negative","1400","251","190"
"4","0.2","39","0.1","negative","1400","255","186"
"7","0.2","39","0.1","negative","1400","254","187"
"9","0.2","39","0.1","negative","1400","251","190"
"6","0.2","39","0.1","negative","1400","254","187"
"5","0.2","39","0.1","negative","1400","256","185"
"3","0.2","39","0.1","negative","1400","257","184"
"1","0.2","39","0.1","negative","900","262","179"
"2","0.2","39","0.1","negative","1100","243","198"
"8","0.2","39","0.1","negative","1500","249","192"
"4","0.2","39","0.1","negative","1500","252","189"
"7","0.2","39","0.1","negative","1500","252","189"
"9","0.2","39","0.1","negative","1500","254","187"
"6","0.2","39","0.1","negative","1500","251","190"
"5","0.2","39","0.1","negative","1500","254","187"
"3","0.2","39","0.1","negative","1500","254","187"
"8","0.2","39","0.1","negative","1600","249","192"
"4","0.2","39","0.1","negative","1600","251","190"
"7","0.2","39","0.1","negative","1600","255","186"
"1","0.2","39","0.1","negative","1000","256","185"
"9","0.2","39","0.1","negative","1600","251","190"
"2","0.2","39","0.1","negative","1200","242","199"
"6","0.2","39","0.1","negative","1600","247","194"
"5","0.2","39","0.1","negative","1600","254","187"
"3","0.2","39","0.1","negative","1600","254","187"
"8","0.2","39","0.1","negative","1700","247","194"
"4","0.2","39","0.1","negative","1700","251","190"
"7","0.2","39","0.1","negative","1700","253","188"
"9","0.2","39","0.1","negative","1700","250","191"
"6","0.2","39","0.1","negative","1700","247","194"
"5","0.2","39","0.1","negative","1700","251","190"
"3","0.2","39","0.1","negative","1700","253","188"
"1","0.2","39","0.1","negative","1100","254","187"
"2","0.2","39","0.1","negative","1300","241","200"
