"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"experimento-4-positiva"
"02/01/2026 19:37:21:265 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-53","53","-5","4"
"[run number]","learning-rate","percent-option-B","agents-updated-per-tick","confidence-threshold","spatial-interactions?","influence-type","[step]","pref-A","pref-B"
"6","0","39","5","0.5","false","positive","69","653","417"
"9","0","39","5","0.5","false","positive","69","653","417"
"4","0","39","5","0.5","false","positive","69","653","417"
"2","0","39","5","0.5","false","positive","69","653","417"
"5","0","39","5","0.5","false","positive","69","653","417"
"1","0","39","5","0.5","false","positive","69","653","417"
"8","0","39","5","0.5","false","positive","69","653","417"
"7","0","39","5","0.5","false","positive","69","653","417"
"10","0","39","5","0.5","false","positive","69","653","417"
"3","0","39","5","0.5","false","positive","69","653","417"
"6","0","39","5","0.5","false","positive","166","653","417"
"9","0","39","5","0.5","false","positive","166","653","417"
"1","0","39","5","0.5","false","positive","166","653","417"
"10","0","39","5","0.5","false","positive","166","653","417"
"7","0","39","5","0.5","false","positive","166","653","417"
"2","0","39","5","0.5","false","positive","166","653","417"
"8","0","39","5","0.5","false","positive","166","653","417"
"4","0","39","5","0.5","false","positive","166","653","417"
"5","0","39","5","0.5","false","positive","166","653","417"
"6","0","39","5","0.5","false","positive","259","653","417"
"3","0","39","5","0.5","false","positive","166","653","417"
"9","0","39","5","0.5","false","positive","259","653","417"
"4","0","39","5","0.5","false","positive","259","653","417"
"1","0","39","5","0.5","false","positive","259","653","417"
"12","0","39","5","0.5","false","positive","69","653","417"
"11","0","39","5","0.5","false","positive","69","653","417"
"10","0","39","5","0.5","false","positive","259","653","417"
"13","0","39","5","0.5","false","positive","69","653","417"
"7","0","39","5","0.5","false","positive","259","653","417"
"2","0","39","5","0.5","false","positive","259","653","417"
"8","0","39","5","0.5","false","positive","259","653","417"
"5","0","39","5","0.5","false","positive","259","653","417"
"15","0","39","5","0.5","false","positive","69","653","417"
"13","0","39","5","0.5","false","positive","166","653","417"
"14","0","39","5","0.5","false","positive","69","653","417"
"16","0","39","5","0.5","false","positive","69","653","417"
"12","0","39","5","0.5","false","positive","166","653","417"
"3","0","39","5","0.5","false","positive","259","653","417"
"11","0","39","5","0.5","false","positive","166","653","417"
"18","0","39","5","0.5","false","positive","69","653","417"
"17","0","39","5","0.5","false","positive","69","653","417"
"19","0","39","5","0.5","false","positive","69","653","417"
"15","0","39","5","0.5","false","positive","166","653","417"
"20","0","39","5","0.5","false","positive","69","653","417"
"13","0","39","5","0.5","false","positive","259","653","417"
"16","0","39","5","0.5","false","positive","166","653","417"
"14","0","39","5","0.5","false","positive","166","653","417"
"12","0","39","5","0.5","false","positive","259","653","417"
"11","0","39","5","0.5","false","positive","259","653","417"
"18","0","39","5","0.5","false","positive","166","653","417"
"19","0","39","5","0.5","false","positive","166","653","417"
"17","0","39","5","0.5","false","positive","166","653","417"
"21","0","39","5","0.5","false","positive","69","653","417"
"22","0","39","5","0.5","false","positive","69","653","417"
"15","0","39","5","0.5","false","positive","259","653","417"
"23","0","39","5","0.5","false","positive","69","653","417"
"16","0","39","5","0.5","false","positive","259","653","417"
"20","0","39","5","0.5","false","positive","166","653","417"
"14","0","39","5","0.5","false","positive","259","653","417"
"18","0","39","5","0.5","false","positive","259","653","417"
"19","0","39","5","0.5","false","positive","259","653","417"
"21","0","39","5","0.5","false","positive","166","653","417"
"24","0","39","5","0.5","false","positive","69","653","417"
"17","0","39","5","0.5","false","positive","259","653","417"
"25","0","39","5","0.5","false","positive","69","653","417"
"22","0","39","5","0.5","false","positive","166","653","417"
"23","0","39","5","0.5","false","positive","166","653","417"
"27","0","39","5","0.5","false","positive","69","653","417"
"26","0","39","5","0.5","false","positive","69","653","417"
"28","0","39","5","0.5","false","positive","69","653","417"
"20","0","39","5","0.5","false","positive","259","653","417"
"21","0","39","5","0.5","false","positive","259","653","417"
"29","0","39","5","0.5","false","positive","69","653","417"
"24","0","39","5","0.5","false","positive","166","653","417"
"25","0","39","5","0.5","false","positive","166","653","417"
"23","0","39","5","0.5","false","positive","259","653","417"
"27","0","39","5","0.5","false","positive","166","653","417"
"22","0","39","5","0.5","false","positive","259","653","417"
"30","0","39","5","0.5","false","positive","69","653","417"
"31","0.01","39","5","0.5","false","positive","69","653","417"
"28","0","39","5","0.5","false","positive","166","653","417"
"24","0","39","5","0.5","false","positive","259","653","417"
"29","0","39","5","0.5","false","positive","166","653","417"
"32","0.01","39","5","0.5","false","positive","69","651","419"
"25","0","39","5","0.5","false","positive","259","653","417"
"33","0.01","39","5","0.5","false","positive","69","653","417"
"27","0","39","5","0.5","false","positive","259","653","417"
"30","0","39","5","0.5","false","positive","166","653","417"
"34","0.01","39","5","0.5","false","positive","69","652","418"
"28","0","39","5","0.5","false","positive","259","653","417"
"31","0.01","39","5","0.5","false","positive","166","653","417"
"26","0","39","5","0.5","false","positive","166","653","417"
"35","0.01","39","5","0.5","false","positive","69","655","415"
"29","0","39","5","0.5","false","positive","259","653","417"
"32","0.01","39","5","0.5","false","positive","166","651","419"
"36","0.01","39","5","0.5","false","positive","69","651","419"
"33","0.01","39","5","0.5","false","positive","166","653","417"
"34","0.01","39","5","0.5","false","positive","166","651","419"
"30","0","39","5","0.5","false","positive","259","653","417"
"37","0.01","39","5","0.5","false","positive","69","652","418"
"35","0.01","39","5","0.5","false","positive","166","655","415"
"38","0.01","39","5","0.5","false","positive","69","653","417"
"26","0","39","5","0.5","false","positive","259","653","417"
"31","0.01","39","5","0.5","false","positive","259","652","418"
"32","0.01","39","5","0.5","false","positive","259","652","418"
"36","0.01","39","5","0.5","false","positive","166","654","416"
"39","0.01","39","5","0.5","false","positive","69","655","415"
"33","0.01","39","5","0.5","false","positive","259","653","417"
"34","0.01","39","5","0.5","false","positive","259","653","417"
"42","0.01","39","5","0.5","false","positive","69","652","418"
"35","0.01","39","5","0.5","false","positive","259","654","416"
"41","0.01","39","5","0.5","false","positive","69","655","415"
"40","0.01","39","5","0.5","false","positive","69","654","416"
"38","0.01","39","5","0.5","false","positive","166","654","416"
"37","0.01","39","5","0.5","false","positive","166","653","417"
"36","0.01","39","5","0.5","false","positive","259","653","417"
"44","0.01","39","5","0.5","false","positive","69","651","419"
"43","0.01","39","5","0.5","false","positive","69","654","416"
"45","0.01","39","5","0.5","false","positive","69","653","417"
"42","0.01","39","5","0.5","false","positive","166","653","417"
"39","0.01","39","5","0.5","false","positive","166","655","415"
"46","0.01","39","5","0.5","false","positive","69","652","418"
"40","0.01","39","5","0.5","false","positive","166","654","416"
"41","0.01","39","5","0.5","false","positive","166","654","416"
"37","0.01","39","5","0.5","false","positive","259","654","416"
"38","0.01","39","5","0.5","false","positive","259","654","416"
"44","0.01","39","5","0.5","false","positive","166","652","418"
"45","0.01","39","5","0.5","false","positive","166","653","417"
"42","0.01","39","5","0.5","false","positive","259","654","416"
"43","0.01","39","5","0.5","false","positive","166","651","419"
"46","0.01","39","5","0.5","false","positive","166","651","419"
"39","0.01","39","5","0.5","false","positive","259","655","415"
"48","0.01","39","5","0.5","false","positive","69","652","418"
"40","0.01","39","5","0.5","false","positive","259","653","417"
"47","0.01","39","5","0.5","false","positive","69","653","417"
"41","0.01","39","5","0.5","false","positive","259","655","415"
"44","0.01","39","5","0.5","false","positive","259","651","419"
"49","0.01","39","5","0.5","false","positive","69","654","416"
"45","0.01","39","5","0.5","false","positive","259","653","417"
"50","0.01","39","5","0.5","false","positive","69","653","417"
"46","0.01","39","5","0.5","false","positive","259","651","419"
"43","0.01","39","5","0.5","false","positive","259","655","415"
"52","0.01","39","5","0.5","false","positive","69","653","417"
"51","0.01","39","5","0.5","false","positive","69","651","419"
"53","0.01","39","5","0.5","false","positive","69","652","418"
"47","0.01","39","5","0.5","false","positive","166","651","419"
"48","0.01","39","5","0.5","false","positive","166","649","421"
"54","0.01","39","5","0.5","false","positive","69","654","416"
"49","0.01","39","5","0.5","false","positive","166","654","416"
"55","0.01","39","5","0.5","false","positive","69","654","416"
"56","0.01","39","5","0.5","false","positive","69","652","418"
"50","0.01","39","5","0.5","false","positive","166","650","420"
"53","0.01","39","5","0.5","false","positive","166","654","416"
"52","0.01","39","5","0.5","false","positive","166","653","417"
"51","0.01","39","5","0.5","false","positive","166","654","416"
"54","0.01","39","5","0.5","false","positive","166","653","417"
"47","0.01","39","5","0.5","false","positive","259","652","418"
"49","0.01","39","5","0.5","false","positive","259","656","414"
"48","0.01","39","5","0.5","false","positive","259","649","421"
"55","0.01","39","5","0.5","false","positive","166","655","415"
"56","0.01","39","5","0.5","false","positive","166","651","419"
"50","0.01","39","5","0.5","false","positive","259","653","417"
"58","0.01","39","5","0.5","false","positive","69","653","417"
"53","0.01","39","5","0.5","false","positive","259","653","417"
"52","0.01","39","5","0.5","false","positive","259","653","417"
"59","0.01","39","5","0.5","false","positive","69","653","417"
"57","0.01","39","5","0.5","false","positive","69","653","417"
"51","0.01","39","5","0.5","false","positive","259","654","416"
"54","0.01","39","5","0.5","false","positive","259","651","419"
"55","0.01","39","5","0.5","false","positive","259","655","415"
"61","0.02","39","5","0.5","false","positive","69","653","417"
"60","0.01","39","5","0.5","false","positive","69","652","418"
"62","0.02","39","5","0.5","false","positive","69","658","412"
"64","0.02","39","5","0.5","false","positive","69","653","417"
"58","0.01","39","5","0.5","false","positive","166","655","415"
"63","0.02","39","5","0.5","false","positive","69","654","416"
"65","0.02","39","5","0.5","false","positive","69","652","418"
"59","0.01","39","5","0.5","false","positive","166","652","418"
"56","0.01","39","5","0.5","false","positive","259","650","420"
"57","0.01","39","5","0.5","false","positive","166","654","416"
"61","0.02","39","5","0.5","false","positive","166","653","417"
"62","0.02","39","5","0.5","false","positive","166","657","413"
"64","0.02","39","5","0.5","false","positive","166","651","419"
"58","0.01","39","5","0.5","false","positive","259","655","415"
"63","0.02","39","5","0.5","false","positive","166","649","421"
"66","0.02","39","5","0.5","false","positive","69","652","418"
"60","0.01","39","5","0.5","false","positive","166","651","419"
"65","0.02","39","5","0.5","false","positive","166","654","416"
"62","0.02","39","5","0.5","false","positive","259","657","413"
"57","0.01","39","5","0.5","false","positive","259","654","416"
"59","0.01","39","5","0.5","false","positive","259","652","418"
"67","0.02","39","5","0.5","false","positive","69","653","417"
"61","0.02","39","5","0.5","false","positive","259","653","417"
"64","0.02","39","5","0.5","false","positive","259","653","417"
"63","0.02","39","5","0.5","false","positive","259","651","419"
"68","0.02","39","5","0.5","false","positive","69","653","417"
"66","0.02","39","5","0.5","false","positive","166","654","416"
"65","0.02","39","5","0.5","false","positive","259","655","415"
"70","0.02","39","5","0.5","false","positive","69","654","416"
"71","0.02","39","5","0.5","false","positive","69","650","420"
"60","0.01","39","5","0.5","false","positive","259","651","419"
"69","0.02","39","5","0.5","false","positive","69","652","418"
"67","0.02","39","5","0.5","false","positive","166","658","412"
"72","0.02","39","5","0.5","false","positive","69","651","419"
"73","0.02","39","5","0.5","false","positive","69","655","415"
"74","0.02","39","5","0.5","false","positive","69","654","416"
"75","0.02","39","5","0.5","false","positive","69","654","416"
"71","0.02","39","5","0.5","false","positive","166","652","418"
"68","0.02","39","5","0.5","false","positive","166","653","417"
"67","0.02","39","5","0.5","false","positive","259","659","411"
"70","0.02","39","5","0.5","false","positive","166","656","414"
"72","0.02","39","5","0.5","false","positive","166","653","417"
"66","0.02","39","5","0.5","false","positive","259","654","416"
"73","0.02","39","5","0.5","false","positive","166","657","413"
"69","0.02","39","5","0.5","false","positive","166","656","414"
"74","0.02","39","5","0.5","false","positive","166","653","417"
"68","0.02","39","5","0.5","false","positive","259","655","415"
"76","0.02","39","5","0.5","false","positive","69","655","415"
"77","0.02","39","5","0.5","false","positive","69","654","416"
"71","0.02","39","5","0.5","false","positive","259","657","413"
"75","0.02","39","5","0.5","false","positive","166","654","416"
"72","0.02","39","5","0.5","false","positive","259","653","417"
"78","0.02","39","5","0.5","false","positive","69","651","419"
"70","0.02","39","5","0.5","false","positive","259","656","414"
"73","0.02","39","5","0.5","false","positive","259","653","417"
"69","0.02","39","5","0.5","false","positive","259","655","415"
"74","0.02","39","5","0.5","false","positive","259","656","414"
"79","0.02","39","5","0.5","false","positive","69","652","418"
"76","0.02","39","5","0.5","false","positive","166","654","416"
"77","0.02","39","5","0.5","false","positive","166","658","412"
"80","0.02","39","5","0.5","false","positive","69","654","416"
"83","0.02","39","5","0.5","false","positive","69","655","415"
"81","0.02","39","5","0.5","false","positive","69","653","417"
"78","0.02","39","5","0.5","false","positive","166","651","419"
"82","0.02","39","5","0.5","false","positive","69","654","416"
"84","0.02","39","5","0.5","false","positive","69","652","418"
"75","0.02","39","5","0.5","false","positive","259","652","418"
"79","0.02","39","5","0.5","false","positive","166","653","417"
"76","0.02","39","5","0.5","false","positive","259","655","415"
"80","0.02","39","5","0.5","false","positive","166","654","416"
"77","0.02","39","5","0.5","false","positive","259","658","412"
"85","0.02","39","5","0.5","false","positive","69","655","415"
"83","0.02","39","5","0.5","false","positive","166","653","417"
"78","0.02","39","5","0.5","false","positive","259","651","419"
"82","0.02","39","5","0.5","false","positive","166","656","414"
"84","0.02","39","5","0.5","false","positive","166","648","422"
"81","0.02","39","5","0.5","false","positive","166","653","417"
