"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base_secundarios.nlogox"
"experimento-patrones-edad"
"02/12/2026 08:56:41:296 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-53","53","-5","4"
"[run number]","learning-rate","agents-updated-per-tick","confidence-threshold","spatial-interactions?","influence-type","[step]","count (patches with [sex = 1 and opinion > 0])","count (patches with [sex = 1 and opinion < 0])","count (patches with [sex = 2 and opinion > 0])","count (patches with [sex = 2 and opinion < 0])"
"8","0.56","7","1","false","positive","166","339","99","340","80"
"2","0.56","7","1","false","positive","166","330","108","326","94"
"5","0.56","7","1","false","positive","166","321","117","325","95"
"4","0.56","7","1","false","positive","166","320","118","330","90"
"3","0.56","7","1","false","positive","166","338","100","329","91"
"6","0.56","7","1","false","positive","166","325","113","321","99"
"7","0.56","7","1","false","positive","166","336","102","316","104"
"9","0.56","7","1","false","positive","166","313","125","330","90"
"1","0.56","7","1","false","positive","166","348","90","309","111"
"5","0.56","7","1","false","positive","259","367","71","346","74"
"8","0.56","7","1","false","positive","259","374","64","368","52"
"2","0.56","7","1","false","positive","259","372","66","370","50"
"4","0.56","7","1","false","positive","259","368","70","362","58"
"3","0.56","7","1","false","positive","259","382","56","366","54"
"7","0.56","7","1","false","positive","259","377","61","369","51"
"6","0.56","7","1","false","positive","259","364","74","347","73"
"9","0.56","7","1","false","positive","259","365","73","358","62"
"1","0.56","7","1","false","positive","259","373","65","354","66"
"10","0.56","7","1","false","positive","166","335","103","320","100"
"10","0.56","7","1","false","positive","259","375","63","352","68"
"15","0.56","7","1","false","positive","166","335","103","316","104"
"16","0.56","7","1","false","positive","166","347","91","320","100"
"11","0.56","7","1","false","positive","166","341","97","318","102"
"12","0.56","7","1","false","positive","166","339","99","318","102"
"13","0.56","7","1","false","positive","166","332","106","328","92"
"17","0.56","7","1","false","positive","166","351","87","315","105"
"18","0.56","7","1","false","positive","166","341","97","321","99"
"15","0.56","7","1","false","positive","259","371","67","359","61"
"14","0.56","7","1","false","positive","166","338","100","322","98"
"16","0.56","7","1","false","positive","259","379","59","352","68"
"12","0.56","7","1","false","positive","259","389","49","345","75"
"11","0.56","7","1","false","positive","259","386","52","355","65"
"17","0.56","7","1","false","positive","259","383","55","368","52"
"18","0.56","7","1","false","positive","259","383","55","352","68"
"19","0.56","7","1","false","positive","166","339","99","307","113"
"13","0.56","7","1","false","positive","259","365","73","354","66"
"14","0.56","7","1","false","positive","259","378","60","357","63"
"19","0.56","7","1","false","positive","259","380","58","352","68"
"20","0.56","7","1","false","positive","166","323","115","315","105"
"21","0.56","7","1","false","positive","166","331","107","312","108"
"20","0.56","7","1","false","positive","259","362","76","344","76"
"22","0.56","7","1","false","positive","166","324","114","327","93"
"21","0.56","7","1","false","positive","259","362","76","348","72"
"24","0.56","7","1","false","positive","166","333","105","326","94"
"23","0.56","7","1","false","positive","166","335","103","319","101"
"25","0.56","7","1","false","positive","166","331","107","306","114"
"26","0.56","7","1","false","positive","166","350","88","311","109"
"28","0.56","7","1","false","positive","166","322","116","317","103"
"22","0.56","7","1","false","positive","259","365","73","357","63"
"27","0.56","7","1","false","positive","166","335","103","332","88"
"24","0.56","7","1","false","positive","259","365","73","360","60"
"23","0.56","7","1","false","positive","259","379","59","348","72"
"25","0.56","7","1","false","positive","259","369","69","364","56"
"29","0.56","7","1","false","positive","166","329","109","325","95"
"28","0.56","7","1","false","positive","259","374","64","365","55"
"26","0.56","7","1","false","positive","259","369","69","353","67"
"30","0.56","7","1","false","positive","166","329","109","321","99"
"27","0.56","7","1","false","positive","259","370","68","363","57"
"29","0.56","7","1","false","positive","259","374","64","343","77"
"30","0.56","7","1","false","positive","259","362","76","351","69"
